89	40	70	1	80
20	93	86	50	34
47	35	99	88	92
91	56	86	95	21
71	53	84	42	29
26	43	4	89	40
94	87	64	20	83
36	25	49	83	5
31	9	43	77	43
14	98	59	4	49
6	40	34	24	88
58	7	43	26	54
38	45	76	82	76
91	83	34	97	72
25	48	41	75	57
72	43	90	93	21
39	50	91	57	4
6	66	65	61	89
20	35	48	79	72
4	39	36	25	74
15	38	88	71	79
65	100	40	11	69
59	23	86	21	35
34	66	20	63	38
57	20	76	97	50
8	96	53	64	56
53	58	10	97	41
6	53	48	52	25
86	61	97	48	88
40	3	94	69	48
15	39	87	38	72
16	24	17	31	66
83	23	99	95	23
93	74	28	43	90
16	5	94	57	50
82	66	59	100	53
29	89	19	41	13
12	22	49	85	13
42	60	36	87	37
71	54	100	97	30
87	85	56	39	45
71	46	2	34	34
50	66	20	5	29
86	68	63	61	17
4	53	50	76	64
7	57	80	72	44
38	27	86	43	29
20	58	79	13	14
72	47	51	61	36
44	25	82	67	59
37	77	44	98	81
95	75	24	65	3
82	94	50	92	76
54	26	78	90	3
41	4	14	77	39
5	52	71	95	5
43	54	2	93	36
9	59	87	66	53
61	48	1	26	95
1	7	51	14	10
66	85	12	46	21
67	82	5	79	44
97	3	58	34	45
16	49	38	98	65
36	35	11	18	85
72	63	62	33	58
42	8	30	72	55
80	76	56	17	98
26	83	49	58	51
2	47	4	92	59
40	90	28	36	86
89	46	67	7	7
26	53	94	7	5
57	21	1	67	59
37	91	69	35	63
37	31	74	69	71
25	76	92	74	85
32	17	24	58	47
82	58	4	77	56
78	96	31	40	9
47	56	79	74	87
12	34	64	79	1
100	87	94	66	46
50	58	67	96	74
65	43	55	17	59
33	98	33	92	100
25	52	72	95	46
85	12	99	21	88
80	30	61	74	28
23	40	77	70	85
57	12	91	11	39
62	93	68	51	43
14	31	52	100	76
64	94	18	95	28
54	25	26	61	82
9	4	95	21	32
97	95	100	27	1
93	92	17	48	8
95	89	42	12	37
16	21	73	71	52
85	7	13	82	35
59	45	83	15	66
10	47	82	12	30
61	70	68	76	87
38	89	94	34	54
60	36	88	42	90
26	100	96	31	23
83	19	80	74	59
59	95	60	67	64
95	31	54	77	92
55	91	93	95	45
4	16	22	41	97
37	17	47	52	3
34	9	24	22	36
47	16	36	52	40
8	85	93	73	25
27	49	85	42	16
9	98	25	84	57
64	97	9	42	11
36	33	62	33	83
65	71	93	74	89
100	65	46	44	23
82	45	10	13	97
44	48	15	63	2
98	7	47	25	68
31	86	38	31	8
7	20	91	69	49
18	56	77	74	55
40	57	9	35	90
29	2	54	97	47
96	66	98	27	93
96	48	17	51	17
62	34	68	34	5
35	11	44	78	49
33	59	74	33	98
12	6	84	47	49
38	71	15	55	76
72	96	83	15	51
79	94	79	47	50
29	41	75	8	47
66	43	32	47	43
63	99	82	84	82
46	2	56	33	1
13	52	46	10	77
30	10	70	73	10
1	51	27	58	96
36	37	30	44	16
29	69	6	48	59
55	44	18	6	70
61	52	94	86	38
86	91	62	62	7
98	17	79	20	19
86	22	16	98	27
67	22	99	100	90
90	100	2	76	44
65	33	89	58	38
92	35	99	56	92
97	33	47	82	64
65	71	13	91	67
67	80	71	100	91
53	44	52	27	19
47	27	30	44	85
36	39	71	39	84
79	4	80	69	78
11	51	43	52	18
58	7	30	94	96
79	33	34	66	19
83	47	57	43	26
63	5	16	86	28
62	16	76	1	53
59	41	57	43	5
33	97	87	96	56
10	61	38	77	30
5	47	9	62	98
18	75	13	22	23
99	99	58	24	83
10	30	42	50	6
93	49	72	60	60
3	73	42	86	3
59	70	46	6	51
3	4	11	61	96
54	15	80	93	53
78	83	40	41	6
98	13	86	65	79
36	84	18	58	40
14	68	20	66	9
20	93	5	33	63
54	55	23	2	1
33	20	83	81	98
3	51	87	97	96
81	13	79	14	33
43	90	6	84	91
48	43	50	7	33
5	70	17	70	17
87	86	34	29	39
84	89	18	56	91
1	9	83	78	1
55	19	70	17	80
55	12	11	97	39
19	94	17	54	29
28	26	18	100	28
69	14	95	56	22
33	30	66	71	30
22	9	58	91	13
36	77	6	67	97
99	33	99	34	18
24	61	95	70	1
15	5	75	96	70
14	10	98	24	97
36	60	37	86	45
47	83	90	84	73
25	72	35	76	84
7	61	55	30	51
43	94	90	84	16
35	6	86	38	16
33	93	12	90	66
26	89	33	98	17
58	83	86	51	76
22	63	21	61	70
39	6	5	74	93
22	47	47	19	58
96	72	6	96	17
48	46	89	83	39
40	25	46	79	77
33	68	43	81	61
18	71	61	75	49
24	12	94	31	86
72	87	17	47	42
87	46	51	65	17
85	34	67	16	46
45	10	23	88	95
73	44	16	70	74
92	35	19	83	12
72	5	12	39	70
55	49	60	98	63
74	54	31	10	20
51	94	49	98	7
95	77	74	24	52
94	46	4	100	11
97	91	79	24	33
22	59	21	57	71
14	50	82	38	36
31	29	37	51	42
81	95	4	4	39
89	80	85	76	23
82	97	73	53	11
81	37	28	56	60
87	69	31	62	79
62	27	67	47	19
84	16	20	95	66
6	22	23	89	21
31	9	50	53	75
99	71	20	68	56
71	51	52	20	84
48	48	34	41	100
13	5	26	77	63
12	61	79	3	65
77	100	25	26	11
100	68	2	16	61
35	24	26	43	24
85	15	32	53	93
22	63	26	67	17
45	38	37	17	19
24	29	49	100	88
62	92	91	47	56
26	1	26	83	28
74	35	44	84	90
49	69	19	44	87
71	29	11	89	74
41	38	12	86	12
5	73	92	65	67
48	64	12	67	82
29	88	33	55	24
32	69	25	74	21
85	5	17	2	81
37	5	49	40	97
58	48	19	93	27
85	66	38	83	57
1	44	92	75	14
47	12	7	100	76
49	51	89	52	90
52	26	5	78	65
98	44	90	42	6
76	20	55	17	35
44	95	73	42	73
71	7	100	42	38
51	9	99	38	90
26	89	99	16	91
5	86	73	87	61
66	7	68	27	39
54	23	21	17	41
57	79	94	24	72
97	96	8	96	77
99	15	15	43	13
91	4	73	33	33
34	72	45	82	77
24	14	39	98	64
41	25	50	29	83
93	25	21	45	92
63	83	29	44	19
19	27	89	15	8
51	18	2	85	29
58	70	79	63	81
49	36	97	19	67
61	22	21	2	50
31	38	12	66	93
15	42	23	35	94
